rep;type;delay;time1;time2
0;soft;131;216074661;216074792
1;soft;-36217;240105030;240068813
2;soft;-8613;263981829;263973216
3;soft;-10;288058707;288058697
4;soft;-25;312035329;312035304
5;soft;34;336083476;336083510
6;soft;-23;360094729;360094706
7;soft;-25;384048474;384048449
8;soft;1746;408101943;408103689
9;soft;-52;432058050;432057998
10;soft;-273;456087637;456087364
11;soft;-32;480053256;480053224
12;soft;-29;504106745;504106716
13;soft;34;528088673;528088707
14;soft;46;552043946;552043992
15;soft;19;576060974;576060993
16;soft;-19;600046219;600046200
17;soft;-35969;624078397;624042428
18;soft;-17;648033531;648033514
19;soft;-25;672049426;672049401
20;soft;-25;696028190;696028165
21;soft;-18;720027154;720027136
22;soft;-24;744037822;744037798
23;soft;14;768019132;768019146
24;soft;25030;791987197;792012227
25;soft;-25;816019934;816019909
26;soft;14;840025087;840025101
27;soft;-35;864022520;864022485
28;soft;-27;888010526;888010499
29;soft;-11368;911883378;911872010
30;soft;-25;936055364;936055339
31;soft;24;959999199;959999223
32;soft;-2098;984010214;984008116
33;soft;-23;7984188;7984165
34;soft;23;31966715;31966738
35;soft;43;55996549;55996592
36;soft;24;79987114;79987138
37;soft;27;103985800;103985827
38;soft;-23;128015785;128015762
39;soft;-27;151979194;151979167
40;soft;12935;175999940;176012875
41;soft;-22;199984132;199984110
42;soft;111;223971955;223972066
43;soft;-22;247989738;247989716
44;soft;27;271980973;271981000
45;soft;-163;295980133;295979970
46;soft;24;319966530;319966554
47;soft;-9233;343973207;343963974
48;soft;42;367959778;367959820
49;soft;-676;391820986;391820310
50;soft;158;415964339;415964497
51;soft;-24;439984535;439984511
52;soft;278;463965039;463965317
53;soft;176;487954285;487954461
54;soft;60;512022509;512022569
55;soft;25;535973173;535973198
56;soft;36333;559954148;559990481
57;soft;26;584027824;584027850
58;soft;44;607956863;607956907
59;soft;142;631988484;631988626
60;soft;-78;655921969;655921891
61;soft;-3875;679949471;679945596
62;soft;-55;703943238;703943183
63;soft;-125;727935241;727935116
64;soft;146;751922017;751922163
65;soft;22;775956773;775956795
66;soft;-65;799927076;799927011
67;soft;-186;823929891;823929705
68;soft;6;847926599;847926605
69;soft;-155;871922630;871922475
70;soft;159;895929426;895929585
71;soft;30;919773402;919773432
72;soft;36224;943972423;944008647
73;soft;-4;967902550;967902546
74;soft;32;991878519;991878551
75;soft;34;15903329;15903363
76;soft;27;39885453;39885480
77;soft;24;63887178;63887202
78;soft;-1818;87914380;87912562
79;soft;-21;111925520;111925499
80;soft;-21;135895459;135895438
81;soft;-24;159896406;159896382
82;soft;-21;183900345;183900324
83;soft;22;207913743;207913765
84;soft;21;231898587;231898608
85;soft;23;255886952;255886975
86;soft;-21;279941589;279941568
87;soft;-11;303887532;303887521
88;soft;12804;327882144;327894948
89;soft;-27;351909266;351909239
90;soft;23;375899284;375899307
91;soft;39;399910742;399910781
92;soft;27;423950223;423950250
93;soft;-27;447945245;447945218
94;soft;11;471883374;471883385
95;soft;-59;495891916;495891857
96;soft;-160;519867832;519867672
97;soft;-26;543869237;543869211
98;soft;23;567932375;567932398
99;soft;27;591898388;591898415
100;soft;139;615971418;615971557
101;soft;-25;639930827;639930802
102;soft;38017;663939735;663977752
103;soft;-25;687951102;687951077
104;soft;91;711915329;711915420
105;soft;-105;735874340;735874235
106;soft;-25211;759887882;759862671
107;soft;-455;783877752;783877297
108;soft;144;807853210;807853354
109;soft;-180;831844420;831844240
110;soft;172;855859372;855859544
111;soft;-25;879899229;879899204
112;soft;33;903851810;903851843
113;soft;151;927939490;927939641
114;soft;154;951767626;951767780
115;soft;23;975825127;975825150
116;soft;-24;999811345;999811321
117;soft;23;23828124;23828147
118;soft;13008;47824264;47837272
119;soft;24;71809899;71809923
120;soft;-30;95798248;95798218
121;soft;22;119801380;119801402
122;soft;-1943;143847852;143845909
123;soft;-26;167833708;167833682
124;soft;26;191817209;191817235
125;soft;-27;215854336;215854309
126;soft;-31;239815846;239815815
127;soft;21;263809013;263809034
128;soft;20;287824745;287824765
129;soft;27;311802439;311802466
130;soft;-22;335802067;335802045
131;soft;-76;359801978;359801902
132;soft;12;383798161;383798173
133;soft;18;407805983;407806001
134;soft;30531;431647088;431677619
135;soft;142;455821957;455822099
136;soft;20;479790935;479790955
137;soft;115;503775132;503775247
138;soft;-26719;527821129;527794410
139;soft;-79;551788526;551788447
140;soft;-147;575776197;575776050
141;soft;-66;599795735;599795669
142;soft;-136;623770357;623770221
143;soft;-10;647814641;647814631
144;soft;-62;671793864;671793802
145;soft;-30;695799373;695799343
146;soft;-23;719786954;719786931
147;soft;-8;743810357;743810349
148;soft;-14;767789292;767789278
149;soft;-22;791786388;791786366
150;soft;35542;815776110;815811652
151;soft;-111;839754182;839754071
152;soft;-81;863776566;863776485
153;soft;102;887750471;887750573
154;soft;-25;911776102;911776077
155;soft;-28;935773287;935773259
156;soft;-29;959757081;959757052
