rep;type;delay;time1;time2
0;hard_wrong;285770691;90868676;376639367
1;hard_wrong;285809075;114892804;400701879
2;hard_wrong;285847451;138873308;424720759
3;hard_wrong;285885835;162893452;448779287
4;hard_wrong;285924195;186847308;472771503
5;hard_wrong;285962563;210799572;496762135
6;hard_wrong;286000923;234842140;520843063
7;hard_wrong;286039275;258788620;544827895
8;hard_wrong;286077627;282771876;568849503
9;hard_wrong;286115979;306800860;592916839
10;hard_wrong;286154315;330762428;616916743
11;hard_wrong;286192659;354729876;640922535
12;hard_wrong;286230995;378758564;664989559
13;hard_wrong;286269323;402747508;689016831
14;hard_wrong;286307659;426713476;713021135
15;hard_wrong;286345987;450680492;737026479
16;hard_wrong;286384315;474670732;761055047
17;hard_wrong;286422643;498668500;785091143
18;hard_wrong;286460987;522690060;809151047
19;hard_wrong;286499315;546630380;833129695
20;hard_wrong;286537643;570615828;857153471
21;hard_wrong;286575979;594619212;881195191
22;hard_wrong;286614315;618604332;905218647
23;hard_wrong;286652667;642602884;929255551
24;hard_wrong;286691003;666588876;953279879
25;hard_wrong;286729355;690571028;977300383
26;hard_wrong;-713232325;714613548;1381223
27;hard_wrong;-713193981;738536332;25342351
28;hard_wrong;-713155661;762584468;49428807
29;hard_wrong;-713117341;786570244;73452903
30;hard_wrong;-713079005;810498348;97419343
31;hard_wrong;-713040685;834504500;121463815
32;hard_wrong;-713002357;858471380;145469023
33;hard_wrong;-712964053;882462556;169498503
34;hard_wrong;-712925725;906439236;193513511
35;hard_wrong;-712887397;930438396;217550999
36;hard_wrong;-712849093;954437852;241588759
37;hard_wrong;-712810773;978420884;265610111
38;hard_wrong;287227555;2384356;289611911
39;hard_wrong;287265859;26382068;313647927
40;hard_wrong;287304187;50358164;337662351
41;hard_wrong;287342515;74371388;361713903
42;hard_wrong;287380843;98367876;385748719
43;hard_wrong;287419147;122322300;409741447
44;hard_wrong;287457467;146360756;433818223
45;hard_wrong;287495787;170338052;457833839
46;hard_wrong;287534099;194278676;481812775
47;hard_wrong;287572411;218269092;505841503
48;hard_wrong;287610739;242265316;529876055
49;hard_wrong;287649083;266268876;553917959
50;hard_wrong;287687403;290231388;577918791
51;hard_wrong;287725739;314216556;601942295
52;hard_wrong;287764067;338279884;626043951
53;hard_wrong;287802395;362206452;650008847
54;hard_wrong;287840731;386192436;674033167
55;hard_wrong;287879059;410172780;698051839
56;hard_wrong;287917403;434168260;722085663
57;hard_wrong;287955739;458187228;746142967
58;hard_wrong;287994099;482138252;770132351
59;hard_wrong;288032451;506128916;794161367
60;hard_wrong;288070803;530124980;818195783
61;hard_wrong;288109179;554087892;842197071
62;hard_wrong;288147539;578082708;866230247
63;hard_wrong;288185899;602075060;890260959
64;hard_wrong;288224259;626060260;914284519
65;hard_wrong;288262587;650043812;938306399
66;hard_wrong;288300923;674020028;962320951
67;hard_wrong;288339275;698029756;986369031
68;hard_wrong;-711622373;722003724;10381351
69;hard_wrong;-711584037;746056620;34472583
70;hard_wrong;-711545709;770048572;58502863
71;hard_wrong;-711507389;794099636;82592247
72;hard_wrong;-711469045;817970436;106501391
73;hard_wrong;-711430749;842004492;130573743
74;hard_wrong;-711392437;866002508;154610071
75;hard_wrong;-711354117;889915364;178561247
76;hard_wrong;-711315821;913952780;202636959
77;hard_wrong;-711277525;937886700;226609175
78;hard_wrong;-711239205;961862308;250623103
79;hard_wrong;-711200909;985850644;274649735
80;hard_wrong;288837419;9849068;298686487
81;hard_wrong;288875739;33844884;322720623
82;hard_wrong;288914083;57824460;346738543
83;hard_wrong;288952419;81817676;370770095
84;hard_wrong;288990755;105805908;394796663
85;hard_wrong;289029091;129826164;418855255
86;hard_wrong;289067411;153836484;442903895
87;hard_wrong;289105747;177762132;466867879
88;hard_wrong;289144051;201739876;490883927
89;hard_wrong;289182371;225778556;514960927
90;hard_wrong;289220683;249729412;538950095
91;hard_wrong;289259003;273761692;563020695
92;hard_wrong;289297315;297723020;587020335
93;hard_wrong;289335643;321682948;611018591
94;hard_wrong;289373947;345669292;635043239
95;hard_wrong;289412275;369661172;659073447
96;hard_wrong;289450587;393635012;683085599
97;hard_wrong;289488899;417615380;707104279
98;hard_wrong;289527203;441594412;731121615
99;hard_wrong;289565499;465605492;755170991
100;hard_wrong;289603819;489629700;779233519
101;hard_wrong;289642115;513564324;803206439
102;hard_wrong;289680403;537545924;827226327
103;hard_wrong;289718715;561553636;851272351
104;hard_wrong;289757027;585528596;875285623
105;hard_wrong;289795339;609548076;899343415
106;hard_wrong;289833651;633558692;923392343
107;hard_wrong;289871963;657506876;947378839
108;hard_wrong;289910283;681475652;971385935
109;hard_wrong;289948603;705454180;995402783
110;hard_wrong;-710013085;729495460;19482375
111;hard_wrong;-709974789;753469180;43494391
112;hard_wrong;-709936485;777429740;67493255
113;hard_wrong;-709898181;801410596;91512415
114;hard_wrong;-709859901;825400148;115540247
115;hard_wrong;-709821589;849363956;139542367
116;hard_wrong;-709783317;873387236;163603919
117;hard_wrong;-709745037;897360412;187615375
118;hard_wrong;-709706749;921330588;211623839
119;hard_wrong;-709668469;945326356;235657887
120;hard_wrong;-709630197;969308548;259678351
121;hard_wrong;-709591917;993310972;283719055
122;hard_wrong;290446339;17286460;307732799
123;hard_wrong;290484619;41278572;331763191
124;hard_wrong;290522899;65251588;355774487
125;hard_wrong;290561147;89234892;379796039
126;hard_wrong;290599427;113261308;403860735
127;hard_wrong;290637667;137222580;427860247
128;hard_wrong;290675923;161192004;451867927
129;hard_wrong;290714179;185178804;475892983
130;hard_wrong;290752435;209164364;499916799
131;hard_wrong;290790691;233156892;523947583
132;hard_wrong;290828931;257150348;547979279
133;hard_wrong;290867163;281138828;572005991
134;hard_wrong;290905403;305119220;596024623
135;hard_wrong;290943643;329107700;620051343
136;hard_wrong;290981891;353084444;644066335
137;hard_wrong;291020139;377073972;668094111
138;hard_wrong;291058387;401071564;692129951
139;hard_wrong;291096643;425043228;716139871
140;hard_wrong;291134915;449040772;740175687
141;hard_wrong;291173179;473018404;764191583
142;hard_wrong;291211443;497045188;788256631
143;hard_wrong;291249707;521011260;812260967
144;hard_wrong;291287971;544981652;836269623
145;hard_wrong;291326267;568990908;860317175
146;hard_wrong;291364539;592985892;884350431
147;hard_wrong;291402811;616942540;908345351
148;hard_wrong;291441107;640930292;932371399
149;hard_wrong;291479387;664913756;956393143
150;hard_wrong;291517683;688907564;980425247
151;hard_wrong;-708444037;712890084;4446047
152;hard_wrong;-708405757;736871140;28465383
153;hard_wrong;-708367493;760860548;52493055
154;hard_wrong;-708329221;784873740;76544519
155;hard_wrong;-708290949;808852188;100561239
156;hard_wrong;-708252693;832818604;124565911
157;hard_wrong;-708214421;856812420;148597999
158;hard_wrong;-708176149;880795492;172619343
159;hard_wrong;-708137893;904792036;196654143
160;hard_wrong;-708099621;928782012;220682391
161;hard_wrong;-708061365;952764532;244703167
162;hard_wrong;-708023077;976760052;268736975
163;hard_wrong;292015179;724628;292739807
164;hard_wrong;292053435;24714068;316767503
165;hard_wrong;292091699;48695220;340786919
166;hard_wrong;292129971;72686372;364816343
167;hard_wrong;292168251;96662660;388830911
168;hard_wrong;292206539;120648260;412854799
169;hard_wrong;292244811;144643276;436888087
170;hard_wrong;292283083;168634276;460917359
171;hard_wrong;292321355;192622548;484943903
172;hard_wrong;292359643;216607116;508966759
173;hard_wrong;292397939;240590404;532988343
174;hard_wrong;292436227;264584036;557020263
175;hard_wrong;292474531;288639236;581113767
176;hard_wrong;292512819;312571284;605084103
177;hard_wrong;292551115;336553892;629105007
178;hard_wrong;292589403;360513972;653103375
179;hard_wrong;292627723;384581436;677209159
180;hard_wrong;292666003;408558756;701224759
181;hard_wrong;292704283;432501396;725205679
182;hard_wrong;292742579;456475484;749218063
183;hard_wrong;292780883;480444916;773225799
184;hard_wrong;292819187;504432500;797251687
185;hard_wrong;292857499;528453684;821311183
186;hard_wrong;292895811;552409708;845305519
187;hard_wrong;292934131;576477084;869411215
188;hard_wrong;292972435;600471524;893443959
